Abhayāpuri
Abohar
Ābu
Ābu Road
Achalpur
Achhnera
Ādampur
Addanki
Ādilābād
Adirampattinam
Ādoni
Adra
Adūr
Afzalgarh
Afzalpur
Agar
Agartala
Āgra
Ahmadnagar
Ahmadpur
Ahmedabad
Ahraura
Airoli
Aistala
Aizawl
Ajmer
Ajnāla
Ajodhya
Ajra
Akalkot
Akaltara
Akbarpur
Akivīdu
Akkarampalle
Aklera
Akola
Akot
Aland
Alandi
Alandur
Ālangāyam
Ālangulam
Alībāg
Alīganj
Alīgarh
Alīpur
Allahābād
Alleppey
Almora
Alnāvar
Along
Alot
Aluva
Alwar
Amalāpuram
Amalner
Amarnāth
Amarpātan
Amarpur
Ambad
Ambāh
Ambājogāi
Ambāla
Ambasamudram
Ambattūr
Ambikāpur
Ambur
Amet
Amla
Āmlāgora
Āmli
Amod
Amrāvati
Amreli
Amritsar
Amroha
Amroli
Āmta
Amudālavalasa
Anaimalai
Anakāpalle
Ānand
Anandpur
Anantapur
Anantnag
Andaman and Nicobar Islands
Andhra Pradesh
Āndippatti
Andol
Anekal
Angamāli
Angul
Anjad
Anjangaon
Anjār
Ankleshwar
Annigeri
Annur
Anshing
Anta
Anthiyur
Anūpgarh
Anūppur
Anūpshahr
Aonla
Arakkonam
Arāmbāgh
Arang
Ārangaon
Ārani
Arantāngi
Arāria
Arcot
Ariyalūr
Arkalgūd
Āron
Aroor
Arrah
Arsikere
Arukutti
Arumuganeri
Arunachal Pradesh
Aruppukkottai
Ārvi
Āsandh
Āsansol
Ashoknagar
Ashoknagar Kalyangarh
Ashta
Asifābād
Āsika
Āsind
Assam
Atarra
Āthagarh
Athni
Atmakūr
Atraulī
Attili
Attingal
Attur
Aurād
Auraiya
Aurangabad
Aurangābād
Ausa
Āvadi
Avanigadda
Avinashi
Ayakudi
Azamgarh
Bābai
Baberu
Babīna
Bābra
Babrāla
Bachhraon
Bada Barabīl
Badagara
Bādāmi
Baddi
Badlapur
Badnāwar
Badūria
Badvel
Bagaha
Bagalkot
Bagar
Bagasra
Bāgepalli
Bāgha Purāna
Bāghdogra
Bāghpat
Bagulā
Bāh
Bahādurganj
Bahādurgarh
Baharampur
Baheri
Bahjoi
Bahraigh
Bahula
Baidyabāti
Baihar
Bail-Hongal
Bairāgnia
Baj Baj
Bakhtiyārpur
Bālāchor
Bālāghāt
Balāngīr
Bālāpur
Balarāmpur
Balasore
Bāli
Ballālpur
Balod
Baloda Bāzār
Bālotra
Balrāmpur
